system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,nb_input_graphs,duration_embedding,subpipeline_name,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,random_forest_n_estimators,random_forest_n_jobs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,duration_train_test
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55083982848,2023_10_25_16_35_53_566075,3,94.191921 total sec (00h 01m 34s),sgd-classifier-pipeline,3,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,1.0,10,8,16,100,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.014696 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55083982848,2023_10_25_16_35_53_566076,3,95.204668 total sec (00h 01m 35s),sgd-classifier-pipeline,0,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,0.5,10,8,16,100,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.05693 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55084498944,2023_10_25_16_35_53_565780,3,94.423408 total sec (00h 01m 34s),sgd-classifier-pipeline,4,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,1.0,10,8,16,500,5,161.33333333333334,0.9938271604938271,0.9979338842975206,0.9958762886597937,968.0,0.0,0.0,0.0,6.0,0,966,2,6,0.4989669421487603,0.058564 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55083982848,2023_10_25_16_35_53_566041,3,95.130387 total sec (00h 01m 35s),sgd-classifier-pipeline,1,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,0.5,10,8,16,500,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.088854 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55083982848,2023_10_25_16_35_53_566076,3,94.571353 total sec (00h 01m 34s),sgd-classifier-pipeline,2,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,0.5,10,8,16,1000,5,161.33333333333334,0.9938271604938271,0.9979338842975206,0.9958762886597937,968.0,0.0,0.0,0.0,6.0,0,966,2,6,0.4989669421487603,0.072949 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,55083982848,2023_10_25_16_35_53_566332,3,94.858361 total sec (00h 01m 34s),sgd-classifier-pipeline,5,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,1.0,10,8,16,1000,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.161824 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,47356833792,2023_10_25_16_37_29_399508,3,95.496152 total sec (00h 01m 35s),sgd-classifier-pipeline,0,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,0.5,10,8,16,100,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.021589 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49533399040,2023_10_25_16_37_30_794625,3,95.997587 total sec (00h 01m 35s),sgd-classifier-pipeline,1,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,0.5,10,8,16,500,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.01319 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,48593219584,2023_10_25_16_37_34_404929,3,95.608421 total sec (00h 01m 35s),sgd-classifier-pipeline,3,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,1.0,10,8,16,100,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.012651 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49019809792,2023_10_25_16_37_31_807313,3,96.543344 total sec (00h 01m 36s),sgd-classifier-pipeline,2,classic-ml-pipeline,/home/onyr/code/phdtrack/mem2graph/data/0_graph_with_embedding_comments_-e_none_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_none_-s_none,node2vec,128,16,50,0.5,0.5,10,8,16,1000,5,161.33333333333334,0.9938398357289527,1.0,0.9969104016477858,968.0,0.0,0.0,0.0,6.0,0,968,0,6,0.5,0.019992 total sec (00h 00m 00s)
